1;127;167;01:01.383;00:25:52.074;01:01.603;25
2;115;155;01:01.213;00:25:59.734;01:01.683;25
3;160;14;01:01.403;00:26:01.982;01:01.786;25
4;148;168;01:01.173;00:26:02.645;01:02.306;25
5;149;162;01:01.350;00:26:02.784;01:01.686;25
6;124;156;01:01.346;00:26:02.978;01:02.363;25
7;103;146;01:01.566;00:26:06.069;01:01.636;25
8;132;134;01:01.496;00:26:16.397;01:01.813;25
9;116;126;01:01.586;00:26:17.326;01:02.290;25
10;108;165;01:01.843;00:26:17.431;01:02.606;25
11;143;147;01:01.796;00:26:19.216;01:02.500;25
12;131;113;01:01.810;00:26:19.364;01:02.783;25
13;101;125;01:02.076;00:26:20.116;01:02.546;25
14;135;163;01:01.966;00:26:20.528;01:02.840;25
15;113;136;01:01.913;00:26:20.701;01:02.306;25
16;120;154;01:00.910;00:26:20.739;01:01.133;25
17;114;158;01:01.880;00:26:27.769;01:03.093;25
18;147;68;01:01.526;00:26:28.193;01:03.333;25
19;118;160;01:02.753;00:26:36.978;01:03.406;25
20;145;148;01:02.380;00:26:37.406;01:02.646;25
21;140;164;01:02.580;00:26:46.936;01:02.793;25
22;139;153;01:02.970;00:26:50.476;01:03.253;25
23;125;157;01:02.326;00:26:52.752;01:03.220;25
24;129;149;01:01.743;00:26:08.518;01:03.186;24
25;154;36;01:02.206;00:26:41.629;01:03.723;24
26;134;152;01:01.860;00:24:28.194;01:18.953;23
27;122;124;01:02.763;00:20:37.077;01:11.060;19
28;117;140;01:02.490;00:19:13.917;01:03.656;18
29;152;161;01:02.366;00:09:42.859;01:03.533;9
30;156;137;01:01.723;00:06:26.857;01:08.596;6
31;123;17;01:02.056;00:06:30.934;01:04.543;6
