1;116;01:00.336;00:27:22.972;25
2;169;01:00.510;00:27:24.305;25
3;145;01:00.513;00:27:28.304;25
4;77;01:00.200;00:27:45.713;25
5;5;01:00.086;00:26:25.086;24
6;123;01:00.703;00:26:25.633;24
7;8;01:00.483;00:26:26.234;24
8;143;01:00.286;00:26:26.357;24
9;43;01:00.620;00:26:28.201;24
10;133;01:00.433;00:26:28.308;24
11;29;01:00.296;00:26:28.586;24
12;132;01:00.486;00:26:28.830;24
13;85;01:00.643;00:26:29.140;24
14;142;01:00.926;00:26:32.989;24
15;130;01:00.710;00:26:33.706;24
16;144;01:00.586;00:26:33.859;24
17;2;01:00.426;00:26:35.945;24
18;102;01:00.743;00:26:44.710;24
19;3;01:00.476;00:26:44.833;24
20;119;01:00.886;00:26:46.169;24
21;34;01:00.743;00:26:46.778;24
22;86;01:00.893;00:26:47.501;24
23;61;01:00.596;00:26:48.041;24
24;46;01:00.730;00:26:48.115;24
25;12;01:01.116;00:26:48.636;24
26;;01:01.233;00:26:54.647;24
27;18;01:01.423;00:26:54.797;24
28;4;01:00.416;00:26:54.988;24
29;45;01:01.783;00:27:02.589;24
30;101;01:01.446;00:27:03.262;24
31;;01:01.020;00:26:48.164;23
32;98;01:00.953;00:23:45.452;21
33;122;01:01.360;00:24:10.615;21
34;11;01:00.763;00:19:35.840;17
35;91;01:01.310;00:13:25.803;11
36;9;01:04.296;00:07:24.556;5
37;95;01:04.116;00:06:30.062;3
38;139;01:06.980;00:03:02.041;1
