1;150;140;00:56.429;00:25:44.116;---;27;30;1
2;151;156;00:56.660;00:25:47.494;00:03.378;27;27;2
3;154;154;00:56.700;00:25:56.252;00:08.758;27;25;3
4;122;14;00:56.900;00:25:56.798;00:00.546;27;23;6
5;107;17;00:56.860;00:25:57.007;00:00.209;27;21;4
6;115;137;00:56.918;00:25:57.249;00:00.242;27;20;7
7;105;168;00:56.862;00:25:57.541;00:00.292;27;19;5
8;113;162;00:57.150;00:26:04.923;00:07.382;27;18;14
9;162;170;00:56.976;00:26:07.247;00:02.324;27;17;9
10;102;161;00:56.862;00:26:07.803;00:00.556;27;16;5
11;128;89;00:57.181;00:26:10.161;00:02.358;27;15;15
12;145;17;00:57.120;00:26:10.362;00:00.201;27;14;13
13;153;167;00:56.989;00:26:11.533;00:01.171;27;13;10
14;166;157;00:57.111;00:26:12.518;00:00.985;27;12;12
15;158;134;00:56.915;00:26:14.904;00:02.386;27;11;8
16;108;45;00:56.990;00:26:15.643;00:00.739;27;10;11
17;164;125;00:57.186;00:26:16.272;00:00.629;27;9;16
18;148;155;00:57.477;00:26:19.373;00:03.101;27;8;18
19;133;27;00:57.499;00:26:21.460;00:02.087;27;7;19
20;120;147;00:57.356;00:26:30.531;00:09.071;27;6;17
21;161;136;00:57.589;00:26:32.934;00:02.403;27;5;20
22;114;163;00:57.914;00:26:41.922;00:08.988;27;4;21
23;126;160;00:58.437;00:25:55.481;-1 volta;26;3;22
24;163;153;00:57.960;00:26:09.382;00:13.901;26;2;23
25;141;148;00:58.517;00:26:28.310;00:18.928;26;1;24
26;111;165;00:57.337;00:26:34.167;-2 voltas;24;0;25
27;159;124;00:58.586;00:20:05.839;-4 voltas;20;0;26
