1;135;132;1:09.346;;;40;30;2;1
2;116;130;1:09.394;;2.674;40;27;3;9
3;137;61;1:09.253;;2.572;40;25;1;12
4;121;16;1:09.558;;8.793;40;23;4;14
5;140;4;1:09.656;;0.339;40;21;6;3
6;112;95;1:09.405;;0.486;40;20;4;18
7;136;119;1:09.486;;1.907;40;19;8;4
8;154;73;1:09.509;;0.369;40;18;9;7
9;145;8;1:09.470;;1.503;40;17;10;15
10;170;77;1:09.671;;0.832;40;16;11;24
11;104;3;1:09.810;;0.250;40;15;12;22
12;113;86;1:09.942;;0.407;40;14;13;21
13;144;144;1:10.332;;17.851;40;13;14;5
14;150;29;1:10.057;;0.135;40;12;15;25
15;156;169;1:09.367;;29.348;40;11;16;6
16;162;143;1:09.573;;7.058;40;10;17;13
17;102;139;1:09.487;;2.076;40;9;18;23
18;106;116;1:09.712;;0.524;40;8;19;10
19;153;126;1:10.001;;22.333;40;7;20;11
20;132;2;1:10.194;;4.416;40;6;21;16
21;129;133;1:09.575;;29.849;40;5;22;8
22;118;24;1:10.457;;34.003;40;4;23;20
23;130;11;1:10.373;;1 Volta;39;3;24;19
24;151;12;1:10.105;;1 Volta;38;2;25;26
25;122;127;1:09.515;;;40;1;26;2
26;134;46;1:10.106;;;40;0;27;17
