1;136;147;00:49.561;00:25:18.724;---;30;30;2
2;124;168;00:49.682;00:25:19.004;00:00.280;30;27;7
3;147;89;00:49.593;00:25:19.012;00:00.008;30;25;4
4;105;14;00:49.794;00:25:23.029;00:04.017;30;23;11
5;150;156;00:49.563;00:25:23.778;00:00.749;30;21;3
6;140;140;00:49.646;00:25:26.946;00:03.168;30;20;5
7;121;27;00:49.650;00:25:29.947;00:03.001;30;19;6
8;132;113;00:49.813;00:25:30.298;00:00.351;30;18;12
9;148;155;00:49.719;00:25:36.818;00:06.520;30;17;9
10;122;126;00:50.020;00:25:38.475;00:01.657;30;16;13
11;135;165;00:50.047;00:25:40.027;00:01.552;30;15;14
12;156;137;00:50.037;00:25:40.398;00:00.371;30;14;15
13;165;167;00:50.006;00:25:43.319;00:02.921;30;13;16
14;162;162;00:50.041;00:25:44.290;00:00.971;30;12;17
15;166;149;00:50.099;00:25:48.213;00:03.923;30;11;18
16;125;161;00:49.731;00:25:49.356;00:01.143;30;10;10
17;123;158;00:50.022;00:25:49.956;00:00.600;30;9;19
18;145;125;00:49.458;00:25:51.780;00:01.824;30;8;1
19;137;160;00:49.895;00:25:01.762;-1volta;29;7;20
20;129;45;00:51.147;00:25:21.399;00:19.637;29;6;21
21;104;163;00:49.705;00:25:22.195;00:00.796;29;5;8
22;152;148;00:50.445;00:25:23.734;00:01.539;29;4;22
23;141;157;00:50.281;00:25:36.444;00:12.710;29;3;23
24;106;134;00:50.485;00:25:48.023;00:11.579;29;2;24
25;117;153;00:51.934;00:25:52.078;00:04.055;29;1;25
26;168;124;00:51.141;00:20:14.526;-6voltas;23;0;26
27;160;17;00:50.615;00:18:59.541;-1volta;22;0;27
28;159;146;00:50.800;00:13:52.183;-6voltas;16;0;28
29;170;154;00:49.980;00:10:11.254;-5voltas;11;0;29
