1;115;130;1:10.552;26:04.487;;22;30;8
2;105;3;1:10.429;26:04.731;0.244;22;27;4
3;155;101;1:10.475;26:06.778;2.291;22;25;6
4;117;127;1:10.441;26:07.104;2.617;22;23;5
5;106;5;1:10.105;26:07.271;2.784;22;21;3
6;135;34;1:10.524;26:07.842;3.355;22;20;7
7;153;4;1:10.063;26:07.938;3.451;22;19;2
8;119;139;1:10.026;26:08.183;3.696;22;18;1
9;159;73;1:10.824;26:11.631;7.144;22;17;16
10;157;95;1:10.666;26:16.329;11.842;22;16;11
11;129;77;1:10.633;26:16.582;12.095;22;15;9
12;144;102;1:10.777;26:17.925;13.438;22;14;15
13;137;144;1:10.742;26:18.047;13.560;22;13;14
14;102;8;1:10.728;26:19.204;14.717;22;12;13
15;133;46;1:10.671;26:24.482;19.995;22;11;12
16;124;2;1:10.854;26:24.597;20.110;22;10;17
17;113;7;1:11.226;26:34.684;30.197;22;9;18
18;141;61;1:11.287;26:34.807;30.320;22;8;19
19;101;86;1:11.484;26:39.399;34.912;22;7;20
20;139;132;1:11.528;26:39.509;35.022;22;6;21
21;152;29;1:11.418;26:39.761;35.274;22;5;22
22;127;119;1:11.534;26:39.998;35.511;22;4;23
23;148;122;1:11.701;26:42.558;38.071;22;3;24
24;142;133;1:11.306;26:42.837;38.350;22;2;25
25;130;116;1:11.778;26:42.906;38.419;22;1;26
26;136;18;1:11.724;26:42.995;38.508;22;0;27
27;150;142;1:11.539;26:43.259;38.772;22;0;28
28;154;11;1:11.247;26:43.612;39.125;22;0;29
29;138;85;1:11.337;26:43.888;39.401;22;0;30
30;120;169;1:11.713;26:48.583;44.096;22;0;21
31;109;1;1:11.768;26:52.018;47.531;22;0;31
32;108;12;1:11.694;27:06.733;1:02.246;22;0;32
33;121;9;1:10.661;19:45.112;6 Laps;16;0;10
34;116;43;1:29.309;1:30.990;21 Laps;1;0;33
