1;153;162;00:01:10.393;00:24:55.266;00:00:00.000;21
2;129;161;00:01:11.273;00:25:07.666;00:00:12.400;21
3;115;140;00:01:10.946;00:25:07.904;00:00:00.238;21
4;101;134;00:01:11.260;00:25:12.186;00:00:04.282;21
5;144;17;00:01:11.300;00:25:12.549;00:00:00.363;21
6;117;104;00:01:11.276;00:25:12.875;00:00:00.326;21
7;106;147;00:01:11.090;00:25:14.808;00:00:01.933;21
8;154;155;00:01:10.843;00:25:16.228;00:00:01.420;21
9;137;113;00:01:11.186;00:25:17.612;00:00:01.384;21
10;159;154;00:01:11.060;00:25:22.160;00:00:04.548;21
11;127;125;00:01:11.496;00:25:22.700;00:00:00.540;21
12;130;159;00:01:11.913;00:25:23.319;00:00:00.619;21
13;104;126;00:01:11.843;00:25:26.508;00:00:03.189;21
14;135;149;00:01:11.483;00:25:26.750;00:00:00.242;21
15;102;163;00:01:11.730;00:25:33.200;00:00:06.450;21
16;141;36;00:01:11.966;00:25:41.731;00:00:08.531;21
17;108;164;00:01:12.410;00:25:47.328;00:00:05.597;21
18;111;14;00:01:12.436;00:25:47.918;00:00:00.590;21
19;113;160;00:01:12.173;00:25:48.547;00:00:00.629;21
20;136;165;00:01:12.370;00:25:50.363;00:00:01.816;21
21;157;148;00:01:12.056;00:25:50.816;00:00:00.453;21
22;142;153;00:01:12.670;00:25:53.671;00:00:02.855;21
23;147;136;00:01:11.896;00:25:59.172;00:00:05.501;21
24;109;27;00:01:13.133;00:26:00.502;00:00:01.330;21
25;146;157;00:01:13.280;00:26:01.765;00:00:01.263;21
26;116;168;00:01:12.653;00:24:55.032;00:01:06.733;20
27;121;167;00:01:11.776;00:25:01.820;00:00:06.788;20
28;105;122;00:01:12.833;00:25:07.223;00:00:05.403;20
29;133;150;00:01:13.616;00:25:14.655;00:00:07.432;20
30;160;137;00:01:11.466;00:21:46.791;00:03:27.864;18
31;138;156;00:01:12.196;00:18:59.305;00:02:47.486;15
