1;126;116;01:00.336;00:27:22.972;;25;30;5
2;146;169;01:00.510;00:27:24.305;;25;27;19
3;133;145;01:00.513;00:27:28.304;;25;25;18
4;115;77;01:00.200;00:27:45.713;;25;23;2
5;112;5;01:00.086;00:26:25.086;;24;21;1
6;119;123;01:00.703;00:26:25.633;;24;20;17
7;118;8;01:00.483;00:26:26.234;;24;19;8
8;141;143;01:00.286;00:26:26.357;;24;18;3
9;144;43;01:00.620;00:26:28.201;;24;17;16
10;114;133;01:00.433;00:26:28.308;;24;16;7
11;108;29;01:00.296;00:26:28.586;;24;15;4
12;101;132;01:00.486;00:26:28.830;;24;14;15
13;124;85;01:00.643;00:26:29.140;;24;13;14
14;143;142;01:00.926;00:26:32.989;;24;12;13
15;109;130;01:00.710;00:26:33.706;;24;11;12
16;160;144;01:00.586;00:26:33.859;;24;10;11
17;147;2;01:00.426;00:26:35.945;;24;9;6
18;116;102;01:00.743;00:26:44.710;;24;8;10
19;158;3;01:00.476;00:26:44.833;;24;7;9
20;121;119;01:00.886;00:26:46.169;;24;6;20
21;107;34;01:00.743;00:26:46.778;;24;5;12
22;131;86;01:00.893;00:26:47.501;;24;4;21
23;128;61;01:00.596;00:26:48.041;;24;3;22
24;137;46;01:00.730;00:26:48.115;;24;2;23
25;156;12;01:01.116;00:26:48.636;;24;1;24
26;123;;01:01.233;00:26:54.647;;24;0;25
27;111;18;01:01.423;00:26:54.797;;24;0;26
28;145;4;01:00.416;00:26:54.988;;24;0;27
29;130;45;01:01.783;00:27:02.589;;24;0;28
30;150;101;01:01.446;00:27:03.262;;24;0;29
31;106;;01:01.020;00:26:48.164;;23;0;30
32;148;98;01:00.953;00:23:45.452;;21;0;31
33;103;122;01:01.360;00:24:10.615;;21;0;32
34;105;11;01:00.763;00:19:35.840;;17;0;33
35;113;91;01:01.310;00:13:25.803;;11;0;34
36;135;9;01:04.296;00:07:24.556;;5;0;35
37;127;95;01:04.116;00:06:30.062;;3;0;36
38;155;139;01:06.980;00:03:02.041;;1;0;37
